title,vote_average,vote_count,overview,popularity,genres,worth_watching,clean_overview
Inception,8.364,34495,"Cobb, a skilled thief who commits corporate espionage by infiltrating the subconscious of his targets is offered a chance to regain his old life as payment for a task considered to be impossible: ""inception"", the implantation of another person's idea into a target's subconscious.",83.952,"Action, Science Fiction, Adventure",1,cobb skilled thief who commits corporate espionage infiltrating subconscious his targets offered chance regain his old life payment task considered impossible inception implantation another persons idea into targets subconscious
Interstellar,8.417,32571,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,140.241,"Adventure, Drama, Science Fiction",1,adventures group explorers who make use newly discovered wormhole surpass limitations human space travel conquer vast distances involved interstellar voyage
The Dark Knight,8.512,30619,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",130.643,"Drama, Action, Crime, Thriller",1,batman raises stakes his war crime help lt jim gordon district attorney harvey dent batman sets out dismantle remaining criminal organizations plague streets partnership proves effective but they soon find themselves prey reign chaos unleashed rising criminal mastermind known terrified citizens gotham joker
Avatar,7.573,29815,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",79.932,"Action, Adventure, Fantasy, Science Fiction",1,nd century paraplegic marine dispatched moon pandora unique mission but becomes torn between following orders protecting alien civilization
The Avengers,7.71,29166,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",98.082,"Science Fiction, Action, Adventure",1,when unexpected enemy emerges threatens global safety security nick fury director international peacekeeping agency known shield finds himself need team pull world back brink disaster spanning globe daring recruitment effort begins
Deadpool,7.606,28894,"The origin story of former Special Forces operative turned mercenary Wade Wilson, who, after being subjected to a rogue experiment that leaves him with accelerated healing powers, adopts the alter ego Deadpool. Armed with his new abilities and a dark, twisted sense of humor, Deadpool hunts down the man who nearly destroyed his life.",72.735,"Action, Adventure, Comedy",1,origin story former special forces operative turned mercenary wade wilson who after being subjected rogue experiment leaves him accelerated healing powers adopts alter ego deadpool armed his new abilities dark twisted sense humor deadpool hunts down man who nearly destroyed his life
Avengers: Infinity War,8.255,27713,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",154.34,"Adventure, Action, Science Fiction",1,avengers their allies continued protect world threats too large any one hero handle new danger emerged cosmic shadows thanos despot intergalactic infamy his goal collect all six infinity stones artifacts unimaginable power use them inflict his twisted will all reality everything avengers fought led up moment fate earth existence itself never been more uncertain
Fight Club,8.438,27238,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",69.498,Drama,1,tickingtimebomb insomniac slippery soap salesman channel primal male aggression into shocking new form therapy their concept catches underground fight clubs forming every town until eccentric gets way ignites outofcontrol spiral toward oblivion
Guardians of the Galaxy,7.906,26638,"Light years from Earth, 26 years after being abducted, Peter Quill finds himself the prime target of a manhunt after discovering an orb wanted by Ronan the Accuser.",33.255,"Action, Science Fiction, Adventure",1,light years earth years after being abducted peter quill finds himself prime target manhunt after discovering orb wanted ronan accuser
Pulp Fiction,8.488,25893,"A burger-loving hit man, his philosophical partner, a drug-addled gangster's moll and a washed-up boxer converge in this sprawling, comedic crime caper. Their adventures unfurl in three stories that ingeniously trip back and forth in time.",74.862,"Thriller, Crime",1,burgerloving hit man his philosophical partner drugaddled gangsters moll washedup boxer converge sprawling comedic crime caper their adventures unfurl three stories ingeniously trip back forth time
Forrest Gump,8.477,25409,"A man with a low IQ has accomplished great things in his life and been present during significant historic events?in each case, far exceeding what anyone imagined he could do. But despite all he has achieved, his one true love eludes him.",92.693,"Comedy, Drama, Romance",1,man low iq accomplished great things his life been present during significant historic eventsin each case far exceeding what anyone imagined he could do but despite all he achieved his one true love eludes him
Harry Potter and the Philosopher's Stone,7.916,25379,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizard?with a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deaths?and about the villain who's to blame.",185.482,"Adventure, Fantasy",1,harry potter lived under stairs his aunt uncles house his whole life but his th birthday he learns hes powerful wizardwith place waiting him hogwarts school witchcraft wizardry he learns harness his newfound powers help schools kindly headmaster harry uncovers truth about his parents deathsand about villain whos blame
Iron Man,7.64,24874,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",72.897,"Action, Science Fiction, Adventure",1,after being held captive afghan cave billionaire engineer tony stark creates unique weaponized suit armor fight evil
Django Unchained,8.171,24672,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",54.224,"Drama, Western",1,help german bounty hunter freed slave sets out rescue his wife brutal mississippi plantation owner
The Shawshank Redemption,8.702,24649,"Framed in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",122.61,"Drama, Crime",1,framed s double murder his wife her lover upstanding banker andy dufresne begins new life shawshank prison where he puts his accounting skills work amoral warden during his long stretch prison dufresne comes admired other inmates including older prisoner named red his integrity unquenchable sense hope
Avengers: Endgame,8.263,23857,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",91.756,"Adventure, Science Fiction, Action",1,after devastating events avengers infinity war universe ruins due efforts mad titan thanos help remaining allies avengers must assemble once more order undo thanos actions restore order universe once all no matter what consequences may store
The Matrix,8.206,23815,"Set in the 22nd century, The Matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth.",78.564,"Action, Science Fiction",1,set nd century matrix tells story computer hacker who joins group underground insurgents fighting vast powerful computers who now rule earth
Titanic,7.9,23637,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death?on its first and last voyage?on April 15, 1912.",102.348,"Drama, Romance",1,yearold rose dewitt bukater tells story her life aboard titanic years later young rose boards ship her mother fianc meanwhile jack dawson fabrizio de rossi win thirdclass tickets aboard ship rose tells whole story titanics departure through its deathon its first last voyageon april
Joker,8.168,23425,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.",54.522,"Crime, Thriller, Drama",1,during s failed standup comedian driven insane turns life crime chaos gotham city while becoming infamous psychopathic crime figure
The Lord of the Rings: The Fellowship of the Ring,8.402,23323,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",87.037,"Adventure, Fantasy, Action",1,young hobbit frodo baggins after inheriting mysterious ring his uncle bilbo must leave his home order keep falling into hands its evil creator along way fellowship formed protect ringbearer make sure ring arrives its final destination mt doom only place where can destroyed
The Lord of the Rings: The Return of the King,8.474,22334,"Aragorn is revealed as the heir to the ancient kings as he, Gandalf and the other members of the broken fellowship struggle to save Gondor from Sauron's forces. Meanwhile, Frodo and Sam take the ring closer to the heart of Mordor, the dark lord's realm.",99.276,"Adventure, Fantasy, Action",1,aragorn revealed heir ancient kings he gandalf other members broken fellowship struggle save gondor saurons forces meanwhile frodo sam take ring closer heart mordor dark lords realm
